INSTNM,CITY,STABBR
Brown Mackie College-Tucson,Tucson,AZ
Charles of Italy Beauty College,Lake Havasu City,AZ
Cochise County Community College District,Douglas,AZ
Empire Beauty School-Flagstaff,Flagstaff,AZ
Empire Beauty School-Chandler,Chandler,AZ
Cortiva Institute-Tucson,Tucson,AZ
Avalon School of Cosmetology-Mesa,Mesa,AZ
Eastern Arizona College,Thatcher,AZ
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ
Frank Lloyd Wright School of Architecture,Scottsdale,AZ
Glendale Community College,Glendale,AZ
Grand Canyon University,Phoenix,AZ
International Academy of Hair Design,Tempe,AZ
GateWay Community College,Phoenix,AZ
Mesa Community College,Mesa,AZ
ITT Technical Institute-Tucson,Tucson,AZ
ITT Technical Institute-Tempe,Tempe,AZ
Mohave Community College,Kingman,AZ
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ
Dine College,Tsaile,AZ
Northern Arizona University,Flagstaff,AZ
Northland Pioneer College,Holbrook,AZ
Ottawa University-Phoenix,Phoenix,AZ
Phoenix College,Phoenix,AZ
Cortiva Institute-Scottsdale,Scottsdale,AZ
Pima Community College,Tucson,AZ
Pima Medical Institute-Tucson,Tucson,AZ
Pima Medical Institute-Albuquerque,Albuquerque,NM
Prescott College,Prescott,AZ
Refrigeration School Inc,Phoenix,AZ
Rio Salado College,Tempe,AZ
Roberto-Venn School of Luthiery,Phoenix,AZ
Hair Academy of Safford,Safford,AZ
Scottsdale Community College,Scottsdale,AZ
South Mountain Community College,Phoenix,AZ
Arizona Christian University,Phoenix,AZ
Tucson College,Tucson,AZ
Universal Technical Institute of Arizona Inc,Avondale,AZ
Western International University,Tempe,AZ
Empire Beauty School-NW Phoenix,Phoenix,AZ
Yavapai College,Prescott,AZ
University of Arkansas at Little Rock,Little Rock,AR
University of Arkansas for Medical Sciences,Little Rock,AR
ABC Beauty College Inc,Arkadelphia,AR
Arkansas Baptist College,Little Rock,AR
Arkansas Beauty School-Little Rock,Little Rock,AR
Arkansas Beauty College,Russellville,AR
Lyon College,Batesville,AR
Arkansas College of Barbering and Hair Design,North Little Rock,AR
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR
University of Arkansas,Fayetteville,AR
University of Arkansas at Pine Bluff,Pine Bluff,AR
Arkansas State University-Beebe,Beebe,AR
Arkansas State University-Main Campus,Jonesboro,AR
Arkansas Tech University,Russellville,AR
University of Arkansas at Monticello,Monticello,AR
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR
Baptist Health College-Little Rock,Little Rock,AR
Black River Technical College,Pocahontas,AR
University of Central Arkansas,Conway,AR
Central Baptist College,Conway,AR
Cossatot Community College of the University of Arkansas,De Queen,AR
Crowley's Ridge College,Paragould,AR
Crowley's Ridge Technical Institute,Forrest City,AR
East Arkansas Community College,Forrest City,AR
Eastern College of Health Vocations-Little Rock,Little Rock,AR
Imagine-Paul Mitchell Partner School,North Little Rock,AR
National Park Community College,Hot Springs,AR
University of Arkansas Community College-Batesville,Batesville,AR
Harding University,Searcy,AR
Henderson State University,Arkadelphia,AR
Hendrix College,Conway,AR
Hot Springs Beauty College,Hot Springs,AR
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR
John Brown University,Siloam Springs,AR
Lees School of Cosmetology,North  Little Rock,AR
Career Academy of Hair Design,Springdale,AR
Academy of Salon and Spa,Fort Smith,AR
Arkansas State University Mid-South,West Memphis,AR
Arkansas Northeastern College,Blytheville,AR
Margaret's Hair Academy Inc,Monticello,AR
New Tyler Barber College Inc,North Little Rock,AR
North Arkansas College,Harrison,AR
Northwest Technical Institute,Springdale,AR
Ouachita Baptist University,Arkadelphia,AR
College of the Ouachitas,Malvern,AR
Ozarka College,Melbourne,AR
University of the Ozarks,Clarksville,AR
University of Arkansas Community College-Morrilton,Morrilton,AR
Philander Smith College,Little Rock,AR
Phillips Community College of the University of Arkansas,Helena,AR
Southeast Arkansas College,Pine Bluff,AR
Professional Cosmetology Education Center,El Dorado,AR
Pulaski Technical College,North Little Rock,AR
University of Arkansas Community College-Hope,Hope,AR
Rich Mountain Community College,Mena,AR
Paul Mitchell the School-Arkansas,Fayetteville,AR
Searcy Beauty College,Searcy,AR
Shorter College,N Little Rock,AR
Williams Baptist College,Walnut Ridge,AR
South Arkansas Community College,El Dorado,AR
Southern Arkansas University Main Campus,Magnolia,AR
Southern Arkansas University Tech,Camden,AR
Velvatex College of Beauty Culture,Little Rock,AR
University of Arkansas-Fort Smith,Fort Smith,AR
Academy of Art University,San Francisco,CA
ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA
Academy of Chinese Culture and Health Sciences,Oakland,CA
The Academy of Radio and TV Broadcasting,Huntington Beach,CA
Avalon School of Cosmetology-Alameda,Alameda,CA
College of Alameda,Alameda,CA
Allan Hancock College,Santa Maria,CA
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA
American Baptist Seminary of the West,Berkeley,CA
American Film Institute Conservatory,Los Angeles,CA
American Beauty College,West Covina,CA
American Career College-Los Angeles,Los Angeles,CA
American Conservatory Theater,San Francisco,CA
American River College,Sacramento,CA
Antelope Valley College,Lancaster,CA
Art Center College of Design,Pasadena,CA
Associated Technical College-Los Angeles,Los Angeles,CA
Associated Technical College-San Diego,San Diego,CA
Azusa Pacific University,Azusa,CA
Bakersfield College,Bakersfield,CA
Barstow Community College,Barstow,CA
Bellus Academy-National City,National City,CA
Bethesda University,Anaheim,CA
Biola University,La Mirada,CA
Brooks Institute,Ventura,CA
Brownson Technical School,Anaheim,CA
Bryan University,Los Angeles,CA
Butte College,Oroville,CA
Phillips Graduate Institute,Chatsworth,CA
California Institute of Integral Studies,San Francisco,CA
Cabrillo College,Aptos,CA
California Baptist University,Riverside,CA
California College of the Arts,San Francisco,CA
University of California-Hastings College of Law,San Francisco,CA
California Institute of Technology,Pasadena,CA
California Lutheran University,Thousand Oaks,CA
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA
Alliant International University-San Diego,San Diego,CA
California State University-Bakersfield,Bakersfield,CA
California State University-Stanislaus,Turlock,CA
California State University-San Bernardino,San Bernardino,CA
California State Polytechnic University-Pomona,Pomona,CA
California State University-Chico,Chico,CA
California State University-Dominguez Hills,Carson,CA
California State University-Fresno,Fresno,CA
California State University-Fullerton,Fullerton,CA
California State University-East Bay,Hayward,CA
California State University-Long Beach,Long Beach,CA
California State University-Los Angeles,Los Angeles,CA
California State University-Northridge,Northridge,CA
California State University-Sacramento,Sacramento,CA
University of California-Berkeley,Berkeley,CA
University of California-Davis,Davis,CA
University of California-Irvine,Irvine,CA
University of California-Los Angeles,Los Angeles,CA
University of California-Riverside,Riverside,CA
University of California-San Diego,La Jolla,CA
University of California-San Francisco,San Francisco,CA
University of California-Santa Barbara,Santa Barbara,CA
University of California-Santa Cruz,Santa Cruz,CA
Sofia University,Palo Alto,CA
California Beauty School,Modesto,CA
California Christian College,Fresno,CA
Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,CA
California Hair Design Academy,La Mesa,CA
California Institute of the Arts,Valencia,CA
The California Maritime Academy,Vallejo,CA
California Western School of Law,San Diego,CA
Canada College,Redwood City,CA
College of the Canyons,Santa Clarita,CA
Career Academy of Beauty,Garden Grove,CA
Casa Loma College-Van Nuys,Van Nuys,CA
CET-San Diego,San Diego,CA
CET-Sobrato,San Jose,CA
CET-El Centro,El Centro,CA
CET-San Bernardino,San Bernardino,CA
CET-Watsonville,Watsonville,CA
CET-Salinas,Salinas,CA
Cerritos College,Norwalk,CA
Cerro Coso Community College,Ridgecrest,CA
Chabot College,Hayward,CA
Chaffey College,Rancho Cucamonga,CA
Chapman University,Orange,CA
Charles R Drew University of Medicine and Science,Los Angeles,CA
Concordia University-Irvine,Irvine,CA
San Diego Christian College,Santee,CA
Church Divinity School of the Pacific,Berkeley,CA
Citrus College,Glendora,CA
Citrus Heights Beauty College,Citrus Heights,CA
City College of San Francisco,San Francisco,CA
Claremont Graduate University,Claremont,CA
Claremont McKenna College,Claremont,CA
Milan Institute-Visalia,Visalia,CA
Clovis Adult Education,Clovis,CA
Coastline Community College,Fountain Valley,CA
Cogswell College,San Jose,CA
Coleman University,San Diego,CA
COBA Academy,Orange,CA
Western University of Health Sciences,Pomona,CA
Columbia College,Sonora,CA
Columbia College-Hollywood,Tarzana,CA
El Camino College-Compton Center,Compton,CA
Contra Costa College,San Pablo,CA
Cosumnes River College,Sacramento,CA
Crafton Hills College,Yucaipa,CA
Cuesta College,San Luis Obispo,CA
Cuyamaca College,El Cajon,CA
Cypress College,Cypress,CA
De Anza College,Cupertino,CA
Marinello Schools of Beauty-Hemet,Hemet,CA
International School of Beauty Inc,Palm Desert,CA
Dell'Arte International School of Physical Theatre,Blue Lake,CA
College of the Desert,Palm Desert,CA
Design Institute of San Diego,San Diego,CA
Diablo Valley College,Pleasant Hill,CA
Dominican University of California,San Rafael,CA
Dominican School of Philosophy & Theology,Berkeley,CA
East Los Angeles College,Monterey Park,CA
Marinello Schools of Beauty-Santa Clara,Santa Clara,CA
El Camino Community College District,Torrance,CA
Elegance International,Hollywood,CA
Marinello Schools of Beauty-Burbank,Burbank,CA
Marinello Schools of Beauty-Moreno Valley,Moreno Valley,CA
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA
Empire College,Santa Rosa,CA
Evergreen Valley College,San Jose,CA
Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA
Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA
Fashion Institute of Design & Merchandising-Orange County,Irvine,CA
Feather River Community College District,Quincy,CA
Federico Beauty Institute,Sacramento,CA
Fielding Graduate University,Santa Barbara,CA
Five Branches University,Santa Cruz,CA
Redondo Beach Beauty College,Redondo Beach,CA
Foothill College,Los Altos Hills,CA
Franciscan School of Theology,Oceanside,CA
Fredrick and Charles Beauty College,Eureka,CA
Fresno City College,Fresno,CA
Fresno Pacific University,Fresno,CA
Fuller Theological Seminary in California,Pasadena,CA
Fullerton College,Fullerton,CA
Gavilan College,Gilroy,CA
Gemological Institute of America-Carlsbad,Carlsbad,CA
Glendale Community College,Glendale,CA
Glendale Career College,Glendale,CA
Golden Gate University-San Francisco,San Francisco,CA
Golden West College,Huntington Beach,CA
Graduate Theological Union,Berkeley,CA
Grossmont College,El Cajon,CA
Salon Success Academy-Riverside,Riverside,CA
Hartnell College,Salinas,CA
Harvey Mudd College,Claremont,CA
Heald College-Rancho Cordova,Rancho Cordova,CA
Heald College-Fresno,Fresno,CA
Heald College-San Jose,Milpitas,CA
Heald College-San Francisco,San Francisco,CA
Heald College-Concord,Concord,CA
Hilltop Beauty School,Daly City,CA
Holy Names University,Oakland,CA
Pacifica Graduate Institute,Carpinteria,CA
Humboldt State University,Arcata,CA
Humphreys College-Stockton and Modesto Campuses,Stockton,CA
Imperial Valley College,Imperial,CA
Institute for Business and Technology,Santa Clara,CA
Interior Designers Institute,Newport Beach,CA
Toni & Guy Hairdressing Academy-Santa Monica,Santa Monica,CA
Irvine Valley College,Irvine,CA
ITT Technical Institute-National City,National City,CA
ITT Technical Institute-San Dimas,San Dimas,CA
ITT Technical Institute-Orange,Orange,CA
Bellus Academy-El Cajon,El Cajon,CA
John F. Kennedy University,Pleasant Hill,CA
American Jewish University,Los Angeles,CA
Reedley College,Reedley,CA
Life Pacific College,San Dimas,CA
Argosy University-The Art Institute of California-San Diego,San Diego,CA
University of La Verne,La Verne,CA
Laguna College of Art and Design,Laguna Beach,CA
Lake Tahoe Community College,South Lake Tahoe,CA
Lancaster Beauty School,Lancaster,CA
Laney College,Oakland,CA
Lassen Community College,Susanville,CA
Life Chiropractic College West,Hayward,CA
Lincoln University,Oakland,CA
Southern California Seminary,El Cajon,CA
La Sierra University,Riverside,CA
Loma Linda University,Loma Linda,CA
Long Beach City College,Long Beach,CA
Southern California University of Health Sciences,Whittier,CA
Los Angeles Harbor College,Wilmington,CA
Los Angeles Pierce College,Woodland Hills,CA
Los Angeles Southwest College,Los Angeles,CA
Los Angeles Trade Technical College,Los Angeles,CA
Los Angeles Valley College,Valley Glen,CA
The Master's College and Seminary,Santa Clarita,CA
Los Angeles City College,Los Angeles,CA
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA
Los Angeles Mission College,Sylmar,CA
Los Medanos College,Pittsburg,CA
Argosy University-The Art Institute of California-San Francisco,San Francisco,CA
Loyola Marymount University,Los Angeles,CA
Lu Ross Academy,Ventura,CA
Manchester Beauty College,Fresno,CA
Tulare Beauty College,Tulare,CA
Lyles Fresno College of Beauty,Fresno,CA
Lytles Redwood Empire Beauty College Inc,Santa Rosa,CA
MTI Business College Inc,Stockton,CA
MTI College,Sacramento,CA
Brightwood College-Sacramento,Sacramento,CA
Brightwood College-San Diego,San Diego,CA
Brightwood College-Vista,Vista,CA
College of Marin,Kentfield,CA
Marinello Schools of Beauty-Los Angeles,Los Angeles,CA
Marymount California University,Rancho Palos Verdes,CA
Mendocino College,Ukiah,CA
Menlo College,Atherton,CA
Merced College,Merced,CA
Merritt College,Oakland,CA
Mills College,Oakland,CA
MiraCosta College,Oceanside,CA
Marinello Schools of Beauty-San Francisco,San Francisco,CA
Mission College,Santa Clara,CA
Modern Beauty Academy,Oxnard,CA
Brightwood College-North Hollywood,North Hollywood,CA
Modesto Junior College,Modesto,CA
Moler Barber College,Oakland,CA
Middlebury Institute of International Studies at Monterey,Monterey,CA
Monterey Peninsula College,Monterey,CA
Moorpark College,Moorpark,CA
Mt San Antonio College,Walnut,CA
Mount Saint Mary's University,Los Angeles,CA
Mt San Jacinto Community College District,San Jacinto,CA
Mueller College,San Diego,CA
Musicians Institute,Hollywood,CA
Napa Valley College,Napa,CA
Everest College-Reseda,Reseda,CA
Everest College-Gardena,Gardena,CA
Everest College-Alhambra,Alhambra,CA
Everest College-San Bernardino,San Bernardino,CA
The National Hispanic University,San Jose,CA
National Holistic Institute,Emeryville,CA
National University,La Jolla,CA
Newschool of Architecture and Design,San Diego,CA
Newberry School of Beauty,Granada Hills,CA
North Adrian's College of Beauty Inc,Modesto,CA
North-West College-Pomona,Pomona,CA
North-West College-West Covina,West Covina,CA
North-West College-Pasadena,Pasadena,CA
Notre Dame de Namur University,Belmont,CA
Occidental College,Los Angeles,CA
Oceanside College of Beauty,Oceanside,CA
Ohlone College,Fremont,CA
Orange Coast College,Costa Mesa,CA
Otis College of Art and Design,Los Angeles,CA
Oxnard College,Oxnard,CA
Hope International University,Fullerton,CA
Concorde Career College-San Diego,San Diego,CA
Palo Alto University,Palo Alto,CA
Pacific Lutheran Theological Seminary,Berkeley,CA
Pacific Oaks College,Pasadena,CA
Pacific School of Religion,Berkeley,CA
Pacific States University,Los Angeles,CA
Pacific Union College,Angwin,CA
University of the Pacific,Stockton,CA
Palo Verde College,Blythe,CA
Palomar College,San Marcos,CA
Paris Beauty College,Concord,CA
Pasadena City College,Pasadena,CA
Pepperdine University,Malibu,CA
Pitzer College,Claremont,CA
Platt College-San Diego,San Diego,CA
Point Loma Nazarene University,San Diego,CA
Pomona College,Claremont,CA
Porterville College,Porterville,CA
Westwood College-South Bay,Torrance,CA
Professional Institute of Beauty,El Monte,CA
Santa Ana College,Santa Ana,CA
Pardee RAND Graduate School,Santa Monica,CA
Shasta School of Cosmetology,Redding,CA
University of Redlands,Redlands,CA
College of the Redwoods,Eureka,CA
Salon Success Academy-Upland,Upland,CA
Salon Success Academy-Corona,Corona,CA
Rio Hondo College,Whittier,CA
Riverside City College,Riverside,CA
Argosy University-San Francisco Bay Area,Alameda,CA
Rosemead Beauty School,Rosemead,CA
Dongguk University-Los Angeles,Los Angeles,CA
Rudolf Steiner College,Fair Oaks,CA
Sacramento City College,Sacramento,CA
Saddleback College,Mission Viejo,CA
Samuel Merritt University,Oakland,CA
San Diego City College,San Diego,CA
Golf Academy of America-Carlsbad,Carlsbad,CA
San Diego Mesa College,San Diego,CA
San Diego Miramar College,San Diego,CA
San Diego State University,San Diego,CA
University of San Diego,San Diego,CA
San Francisco Art Institute,San Francisco,CA
San Francisco Conservatory of Music,San Francisco,CA
San Francisco State University,San Francisco,CA
San Francisco Theological Seminary,San Anselmo,CA
University of San Francisco,San Francisco,CA
San Joaquin College of Law,Clovis,CA
San Joaquin Delta College,Stockton,CA
San Joaquin Valley College-Visalia,Visalia,CA
William Jessup University,Rocklin,CA
San Jose City College,San Jose,CA
San Jose State University,San Jose,CA
College of San Mateo,San Mateo,CA
Santa Barbara Business College-Bakersfield,Bakersfield,CA
Westwood College-Los Angeles,Los Angeles,CA
Santa Barbara Business College-Santa Maria,Santa Maria,CA
Santa Barbara City College,Santa Barbara,CA
Santa Clara University,Santa Clara,CA
Santa Monica College,Santa Monica,CA
Santa Rosa Junior College,Santa Rosa,CA
Saybrook University,Oakland,CA
Scripps College,Claremont,CA
Wyotech-Fremont,Fremont,CA
College of the Sequoias,Visalia,CA
Shasta Bible College and Graduate School,Redding,CA
Shasta College,Redding,CA
Sierra College,Rocklin,CA
Sierra College of Beauty,Merced,CA
Sierra Valley College of Court Reporting,Fresno,CA
Trinity Law School,Santa Ana,CA
Simpson University,Redding,CA
College of the Siskiyous,Weed,CA
Charles A Jones Career and Education Center,Sacramento,CA
Skyline College,San Bruno,CA
San Bernardino Valley College,San Bernardino,CA
Saint Mary's College of California,Moraga,CA
Solano Community College,Fairfield,CA
Sonoma State University,Rohnert Park,CA
Pinnacle College,Alhambra,CA
South Baylo University,Anaheim,CA
South Coast College,Orange,CA
Vanguard University of Southern California,Costa Mesa,CA
Concorde Career College-Garden Grove,Garden Grove,CA
Southwestern College,Chula Vista,CA
Starr King School for the Ministry,Berkeley,CA
Marshall B Ketchum University,Fullerton,CA
Southern California Institute of Architecture,Los Angeles,CA
University of Southern California,Los Angeles,CA
Southwestern Law School,Los Angeles,CA
Taft College,Taft,CA
Claremont School of Theology,Claremont,CA
Thomas Aquinas College,Santa Paula,CA
Marinello Schools of Beauty-Lake Forest,Lake Forest,CA
Epic Bible College,Sacramento,CA
United Education Institute-Huntington Park Campus,Huntington Park,CA
Concorde Career College-San Bernardino,San Bernardino,CA
Universal College of Beauty Inc-Los Angeles 1,Los Angeles,CA
Concorde Career College-North Hollywood,North Hollywood,CA
Ventura College,Ventura,CA
Victor Valley Beauty College Inc,Victorville,CA
Victor Valley College,Victorville,CA
Berkeley City College,Berkeley,CA
Walden University,Minneapolis,MN
Waynes College of Beauty,Salinas,CA
West Hills College-Coalinga,Coalinga,CA
West Los Angeles College,Culver City,CA
West Valley College,Saratoga,CA
Carrington College-Sacramento,Sacramento,CA
Westminster Theological Seminary in California,Escondido,CA
Westmont College,Santa Barbara,CA
Whittier College,Whittier,CA
Woodbury University,Burbank,CA
The Wright Institute,Berkeley,CA
Western State College of Law at Argosy University,Fullerton,CA
Thomas Jefferson School of Law,San Diego,CA
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA
Yuba College,Marysville,CA
The Salon Professional Academy-Grand Junction,Grand Junction,CO
Adams State University,Alamosa,CO
Aims Community College,Greeley,CO
Arapahoe Community College,Littleton,CO
Bel-Rea Institute of Animal Technology,Denver,CO
Everest College-Colorado Springs,Colorado Springs,CO
University of Colorado Denver/Anschutz Medical Campus,Denver,CO
University of Colorado Colorado Springs,Colorado Springs,CO
Redstone College,Broomfield,CO
University of Colorado Boulder,Boulder,CO
Colorado Christian University,Lakewood,CO
Colorado College,Colorado Springs,CO
Concorde Career College-Aurora,Aurora,CO
The Art Institute of Colorado,Denver,CO
Colorado Mountain College,Glenwood Springs,CO
Colorado Northwestern Community College,Rangely,CO
Colorado School of Mines,Golden,CO
Colorado School of Trades,Lakewood,CO
Colorado State University-Fort Collins,Fort Collins,CO
Colorado Technical University-Colorado Springs,Colorado Springs,CO
Empire Beauty School-Lakewood,Lakewood,CO
Community College of Aurora,Aurora,CO
CollegeAmerica-Denver,Denver,CO
Delta Montrose Technical College,Delta,CO
Prince Institute-Rocky Mountains,Westminster,CO
Community College of Denver,Denver,CO
Lincoln College of Technology-Denver,Denver,CO
Denver Seminary,Littleton,CO
Westwood College-Denver North,Denver,CO
University of Denver,Denver,CO
Emily Griffith Technical College,Denver,CO
Fort Lewis College,Durango,CO
Front Range Community College,Westminster,CO
Glenwood Beauty Academy,Glenwood Springs,CO
Hair Dynamics Education Center,Fort Collins,CO
Iliff School of Theology,Denver,CO
International Salon and Spa Academy,Colorado Springs,CO
Lamar Community College,Lamar,CO
Colorado Mesa University,Grand Junction,CO
Metropolitan State University of Denver,Denver,CO
Morgan Community College,Fort  Morgan,CO
Naropa University,Boulder,CO
National American University-Colorado Springs,Colorado Springs,CO
National American University-Denver,Denver,CO
Nazarene Bible College,Colorado Springs,CO
Northeastern Junior College,Sterling,CO
University of Northern Colorado,Greeley,CO
Otero Junior College,La Junta,CO
Everest College-Thornton,Thornton,CO
Pikes Peak Community College,Colorado Springs,CO
IBMC College,Colorado Springs,CO
Pueblo Community College,Pueblo,CO
Red Rocks Community College,Lakewood,CO
Regis University,Denver,CO
Rocky Mountain College of Art and Design,Lakewood,CO
Montessori Education Center of the Rockies,Boulder,CO
Colorado State University-Pueblo,Pueblo,CO
Pickens Technical College,Aurora,CO
Intellitec College-Colorado Springs,Colorado Springs,CO
Intellitec College-Grand Junction,Grand Junction,CO
Trinidad State Junior College,Trinidad,CO
Empire Beauty School-Thornton,Thornton,CO
Western State Colorado University,Gunnison,CO
Albertus Magnus College,New Haven,CT
Paul Mitchell the School-Danbury,Danbury,CT
Asnuntuck Community College,Enfield,CT
Branford Hall Career Institute-Branford Campus,Branford,CT
Lincoln College of New England-Southington,Southington,CT
Bridgeport Hospital School of Nursing,Bridgeport,CT
University of Bridgeport,Bridgeport,CT
Central Connecticut State University,New Britain,CT
Charter Oak State College,New Britain,CT
Connecticut Center for Massage Therapy-Newington,Newington,CT
Connecticut College,New London,CT
Marinello Schools of Beauty-East Hartford,East Hartford,CT
Porter and Chester Institute of Branford,Branford,CT
University of Connecticut,Storrs,CT
Goodwin College,East Hartford,CT
Lincoln Technical Institute-East Windsor,East Windsor,CT
Eastern Connecticut State University,Willimantic,CT
Fairfield University,Fairfield,CT
Paul Mitchell the School-North Haven,North Haven,CT
Capital Community College,Hartford,CT
Rensselaer Hartford Graduate Center Inc,Hartford,CT
American Institute-West Hartford,West Hartford,CT
Hartford Seminary,Hartford,CT
University of Hartford,West Hartford,CT
Holy Apostles College and Seminary,Cromwell,CT
Housatonic Community College,Bridgeport,CT
Lyme Academy College of Fine Arts,Old Lyme,CT
Manchester Community College,Manchester,CT
Naugatuck Valley Community College,Waterbury,CT
Middlesex Community College,Middletown,CT
Mitchell College,New London,CT
Three Rivers Community College,Norwich,CT
Lincoln Technical Institute-New Britain,New Britain,CT
New England Tractor Trailer Training School of Connecticut,Somers,CT
University of New Haven,West Haven,CT
Ridley-Lowell Business & Technical Institute-New London,New London,CT
Norwalk Community College,Norwalk,CT
Northwestern Connecticut Community College,Winsted,CT
Paier College of Art Inc,Hamden,CT
Marinello Schools of Beauty-Meriden,Meriden,CT
Porter and Chester Institute of Stratford,Stratford,CT
Post University,Waterbury,CT
Quinebaug Valley Community College,Danielson,CT
Quinnipiac University,Hamden,CT
Sacred Heart University,Fairfield,CT
University of Saint Joseph,West Hartford,CT
Gateway Community College,New Haven,CT
St Vincent's College,Bridgeport,CT
Southern Connecticut State University,New Haven,CT
Stone Academy-Hamden,West Haven,CT
Tri-State College of Acupuncture,New York,NY
Trinity College,Hartford,CT
Tunxis Community College,Farmington,CT
Wesleyan University,Middletown,CT
Western Connecticut State University,Danbury,CT
Yale-New Haven Hospital Dietetic Internship,New Haven,CT
Yale University,New Haven,CT
Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE
Dawn Career Institute Inc,Wilmington,DE
Delaware Technical Community College-Owens,Georgetown,DE
Delaware Technical Community College-Terry,Dover,DE
Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE
Delaware State University,Dover,DE
University of Delaware,Newark,DE
Goldey-Beacom College,Wilmington,DE
Schilling-Douglas School of Hair Design LLC,Newark,DE
Wesley College,Dover,DE
Wilmington University,New Castle,DE
American University,Washington,DC
Catholic University of America,Washington,DC
University of the District of Columbia,Washington,DC
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC
Gallaudet University,Washington,DC
George Washington University,Washington,DC
Georgetown University,Washington,DC
Howard University,Washington,DC
